"name","Date","TMP_L103_mean","SPF_H_L103_mean","A_PCP_L1_Accum_1_mean"
"Madagascar",2020-07-06,18.3150517940521,0.00934027414768934,0.317112382501364
"Madagascar",2020-07-07,18.1141786575317,0.00928373355418444,0.951320365071297
"Madagascar",2020-07-08,18.7625188827515,0.00961001589894295,1.10085774958134
"Madagascar",2020-07-09,17.2087996006012,0.00899084564298391,1.03941260278225
"Madagascar",2020-07-10,16.7684473991394,0.00900389766320586,1.42273359000683
"Madagascar",2020-07-11,17.9141042232513,0.00987485959194601,2.02216321229935
"Madagascar",2020-07-12,18.2904117107391,0.00968201621435583,0.752247959375381
"Madagascar",2020-07-13,18.1388235092163,0.00951080955564976,0.374283859506249
"Madagascar",2020-07-14,17.8290617465973,0.00905917515046895,0.038840150431497
"Madagascar",2020-07-15,17.9361090660095,0.00863540288992226,0.212170291692019
"Madagascar",2020-07-16,16.8028476238251,0.0089656775817275,1.42877686023712
"Madagascar",2020-07-17,15.6116392612457,0.00812583626247942,1.14999257028103
"Madagascar",2020-07-18,15.9299278259277,0.00820023217238486,1.17796517908573
"Madagascar",2020-07-19,16.0949776172638,0.00819888850674033,0.880231648683548
"Madagascar",2020-07-20,15.5506029129028,0.00766472809482366,0.527200430631638
"Madagascar",2020-07-21,15.8237862586975,0.0078792842105031,0.56756242364645
"Madagascar",2020-07-22,15.5019462108612,0.00813751271925867,1.15194667875767
"Madagascar",2020-07-23,15.2655050754547,0.00799971970263869,1.95348817110062
"Madagascar",2020-07-24,15.5895321369171,0.00806399038992822,2.09112811088562
"Madagascar",2020-07-25,15.0019538402557,0.00782640732359141,1.6770938038826
"Madagascar",2020-07-26,15.2997982501984,0.00792494940105826,1.03011161088943
"Madagascar",2020-07-27,16.4340839385986,0.00865826313383877,0.426510643213987
"Madagascar",2020-07-28,17.1264140605927,0.00995968678034842,4.00422061979771
"Madagascar",2020-07-29,18.3107533454895,0.011197417974472,5.89770990610123
"Madagascar",2020-07-30,19.3657855987549,0.0111861198674887,1.15009694173932
"Madagascar",2020-07-31,18.5948951244354,0.0104842463042587,0.821587178856134
"Madagascar",2020-08-01,17.6729884147644,0.00961903645657003,0.715783387422562
"Madagascar",2020-08-02,16.6838855743408,0.00847078952938318,0.691531911492348
"Madagascar",2020-08-03,16.1208794116974,0.00819682143628597,0.733706474304199
"Madagascar",2020-08-04,16.5862584114075,0.00826259865425527,0.33434820920229
"Madagascar",2020-08-05,17.9752848148346,0.00851420336402953,0.0845717303454876
